Object ,Rod,Rod,Wire,Wire,Sphere,Sheet,Sheet,Sheet
Instrument used,M,V,M,M,V,meter stick,V,M
Reading,Diameter,Length,Diameter,Length,Diameter,Length,Width,Thickness
1,20.07,19.9,20.04,25.27,18.89,149,76.9,0.81
2,20.07,19.8,20.06,25.27,18.88,150,77.9,0.83
3,20.08,19.9,20.04,25.28,18.89,149,76.9,0.83
4,20.07,19.9,20.05,25.29,18.87,149,76.9,0.81
Average,20.07,19.88,20.05,25.28,18.88,149.25,77.15,0.82
